time_step,node_id,health_score,threshold,status,observed_metrics
78,L3N_12,0.0,0.059412317256023174,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_01,0.0,0.00950821702753018,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_02,0.0,0.031817971489203935,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_03,0.0,0.006961247589868733,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_04,0.0,0.05151516912381117,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_05,0.0,0.028079638621789974,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_06,0.0,0.04264717760799908,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_07,0.0,0.0030825434563870554,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_08,0.0,0.1592316773225555,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_09,0.0,0.011986407838712805,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_10,0.0,0.041389050634489256,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_11,0.0,0.010681670134049687,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_12,0.0,0.0062837776475865,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_13,0.0,0.04078617145467441,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_14,0.0,0.02302220271296569,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_15,0.0,0.010562265122734973,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_16,0.0,0.16057356327430058,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_17,0.0,0.012953761748466436,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_18,0.0,0.051608425505153425,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_19,0.0,0.000643635450723114,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_20,0.0,0.14828374054732324,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_21,0.0,0.010812198526616582,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_22,0.0,0.004035415771512444,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_23,0.0,0.07812066322090663,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_24,0.0,0.0006374430692804045,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_25,0.0,0.04538553055595653,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_26,0.0,0.0031421051619362063,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_27,0.0,0.18288394865111918,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_28,0.0,0.0006610112502631013,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_29,0.0,0.15249141776890482,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_30,0.0,0.00010620134300396958,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_31,0.0,2.1888904783702934e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_32,0.0,0.04769722532225428,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_33,0.0,0.028826734474620204,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_34,0.0,0.0005238344973729048,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_35,0.0,0.02487462296228931,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L4N_36,0.0,0.0003929580321283117,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,CloudDB_Server,0.0,0.01496478321290081,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L1N_01,0.0,0.0003249907800799508,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L2N_01,0.0,7.79627604189171e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L2N_02,0.0,0.10369201189196368,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L2N_03,0.0,0.002805436851150972,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L2N_04,0.0,0.09409728185335607,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_01,0.0,0.34421722378979774,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_02,0.0,0.03898060713679241,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_03,0.0,0.2884332574533466,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_04,0.0,0.30760139524713304,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_05,0.0,0.0009545741872333063,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_06,0.0,0.10105603177782768,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_07,0.0,0.006174058999016997,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_08,0.0,0.006136382889082887,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_09,0.0,0.002912364955929386,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_10,1.2000000000000002,0.6066659913209544,Good,"{'PLR': 0.05, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_11,0.0,0.04031813605817961,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L3N_12,0.0,0.0356473903536139,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_01,0.0,0.0057049302165181085,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_02,0.0,0.01909078289352236,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_03,0.0,0.00417674855392124,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_04,0.0,0.0309091014742867,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_05,0.0,0.016847783173073984,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_06,0.0,0.02558830656479945,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_07,0.0,0.001849526073832233,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_08,0.0,0.0955390063935333,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_09,0.0,0.007191844703227683,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_10,0.0,0.024833430380693553,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_11,1.2000000000000002,0.4864090020804299,Good,"{'PLR': 0.05, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_12,0.0,0.0037702665885519,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_13,0.0,0.024471702872804646,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_14,0.0,0.013813321627779413,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_15,0.0,0.006337359073640984,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_16,0.0,0.09634413796458034,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_17,0.6,0.24777225704907985,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
79,L4N_18,0.6,0.27096505530309206,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
79,L4N_19,0.0,0.0003861812704338684,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_20,0.0,0.08897024432839394,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_21,0.0,0.006487319115969949,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_22,0.0,0.002421249462907466,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_23,0.0,0.046872397932543976,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_24,0.0,0.0003824658415682427,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_25,0.0,0.02723131833357392,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_26,0.0,0.0018852630971617236,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
